date,equipement,ville,CA
2017-03-09,ordinateur,Paris,10189.006060783542
2017-03-10,ordinateur,Paris,14669.696998207424
2017-03-11,ordinateur,Paris,7624.7563333147245
2017-03-12,ordinateur,Paris,10411.681325293675
2017-03-13,ordinateur,Paris,7509.680991500865
2017-03-14,ordinateur,Paris,7357.492801364412
2017-03-15,ordinateur,Paris,12330.675339723928
2017-03-16,ordinateur,Paris,10381.126914261578
2017-03-17,ordinateur,Paris,9205.610472414131
2017-03-18,ordinateur,Paris,8161.378599169611
2017-03-19,ordinateur,Paris,6982.169969036886
2017-03-20,ordinateur,Paris,10811.282402033532
2017-03-21,ordinateur,Paris,10495.300669104516
2017-03-22,ordinateur,Paris,7744.1882630903465
2017-03-23,ordinateur,Paris,6382.162614322786
2017-03-24,ordinateur,Paris,13499.192920611924
2017-03-25,ordinateur,Paris,7175.27279388194
2017-03-26,ordinateur,Paris,4941.448347681566
2017-03-27,ordinateur,Paris,7870.661935448153
2017-03-28,ordinateur,Paris,6341.313754918955
2017-03-29,ordinateur,Paris,12455.621496355
2017-03-30,ordinateur,Paris,6753.845956289109
2017-03-31,ordinateur,Paris,9594.72779623784
2017-04-01,ordinateur,Paris,10416.440963853558
2017-04-02,ordinateur,Paris,8122.345205389209
2017-04-03,ordinateur,Paris,7426.560697180786
2017-04-04,ordinateur,Paris,9882.555853291338
2017-04-05,ordinateur,Paris,15303.449607296805
2017-04-06,ordinateur,Paris,5836.327295128777
2017-04-07,ordinateur,Paris,6429.3873270118365
2017-04-08,ordinateur,Paris,6191.075264086289
2017-04-09,ordinateur,Paris,14439.60220753671
2017-04-10,ordinateur,Paris,7288.250504572047
2017-04-11,ordinateur,Paris,10807.647575363166
2017-04-12,ordinateur,Paris,9697.648988522864
2017-04-13,ordinateur,Paris,9016.691220288325
2017-04-14,ordinateur,Paris,5681.624721896068
2017-04-15,ordinateur,Paris,6740.695507181488
2017-04-16,ordinateur,Paris,9927.363599234162
2017-04-17,ordinateur,Paris,9524.724193926757
2017-04-18,ordinateur,Paris,5949.7175945151
2017-04-19,ordinateur,Paris,6796.08740930637
2017-04-20,ordinateur,Paris,6732.793997818244
2017-04-21,ordinateur,Paris,9804.976317161902
2017-04-22,ordinateur,Paris,8540.683259625474
2017-04-23,ordinateur,Paris,8091.378058549791
2017-04-24,ordinateur,Paris,4721.393188285195
2017-04-25,ordinateur,Paris,8197.219541928747
2017-04-26,ordinateur,Paris,9993.66345978319
2017-04-27,ordinateur,Paris,10339.06089649218
2017-04-28,ordinateur,Paris,7249.310977893454
2017-04-29,ordinateur,Paris,7919.658261853132
2017-04-30,ordinateur,Paris,8109.337469142589
2017-05-01,ordinateur,Paris,12772.581700330169
2017-05-02,ordinateur,Paris,6914.738974419142
2017-05-03,ordinateur,Paris,8140.388528833628
2017-05-04,ordinateur,Paris,12729.744888895388
2017-05-05,ordinateur,Paris,6314.817698536487
2017-05-06,ordinateur,Paris,10965.492134482754
2017-05-07,ordinateur,Paris,7808.102796128176
2017-05-08,ordinateur,Paris,10704.291791132197
2017-05-09,ordinateur,Paris,11730.158265077707
2017-05-10,ordinateur,Paris,13488.196973400412
2017-05-11,ordinateur,Paris,8589.81250451575
2017-05-12,ordinateur,Paris,5072.061875223672
2017-05-13,ordinateur,Paris,7720.522547367553
2017-05-14,ordinateur,Paris,9801.126434085822
2017-05-15,ordinateur,Paris,8502.422696362333
2017-05-16,ordinateur,Paris,7907.57987840282
2017-05-17,ordinateur,Paris,7865.866506004638
2017-05-18,ordinateur,Paris,5852.771358568779
2017-05-19,ordinateur,Paris,9465.415466290755
2017-05-20,ordinateur,Paris,5897.2762261465605
2017-05-21,ordinateur,Paris,9722.161323175704
2017-05-22,ordinateur,Paris,10551.717277187468
2017-05-23,ordinateur,Paris,9318.210395431459
2017-05-24,ordinateur,Paris,10402.719311470104
2017-05-25,ordinateur,Paris,9512.337836934996
2017-05-26,ordinateur,Paris,6284.565887421355
2017-05-27,ordinateur,Paris,7213.286420582557
2017-05-28,ordinateur,Paris,7635.018140686665
2017-05-29,ordinateur,Paris,11291.055407122201
2017-05-30,ordinateur,Paris,13522.577108038877
2017-05-31,ordinateur,Paris,12060.070336932158
2017-06-01,ordinateur,Paris,6141.612464450218
2017-06-02,ordinateur,Paris,9580.366850894796
2017-06-03,ordinateur,Paris,7521.295482362401
2017-06-04,ordinateur,Paris,6900.311713772867
2017-06-05,ordinateur,Paris,14038.728528161582
2017-06-06,ordinateur,Paris,9035.42310254364
2017-06-07,ordinateur,Paris,7707.577016179847
2017-06-08,ordinateur,Paris,14072.90182413955
2017-06-09,ordinateur,Paris,11260.498441492076
2017-06-10,ordinateur,Paris,12867.620211676924
2017-06-11,ordinateur,Paris,8048.9206987728485
2017-06-12,ordinateur,Paris,4992.824855234622
2017-06-13,ordinateur,Paris,12614.514847369554
2017-06-14,ordinateur,Paris,12049.529350443294
2017-06-15,ordinateur,Paris,7236.666481976093
2017-06-16,ordinateur,Paris,7404.22504367224
2017-06-17,ordinateur,Paris,6619.502701574326
2017-06-18,ordinateur,Paris,8407.68405216044
2017-06-19,ordinateur,Paris,9684.302590834026
2017-06-20,ordinateur,Paris,7951.118452712157
2017-06-21,ordinateur,Paris,8810.713822964082
2017-06-22,ordinateur,Paris,8770.536305639445
2017-06-23,ordinateur,Paris,7769.751715126664
2017-06-24,ordinateur,Paris,4508.8599590507165
2017-06-25,ordinateur,Paris,7709.937908091147
2017-06-26,ordinateur,Paris,10219.322482854135
2017-06-27,ordinateur,Paris,11380.433716531434
2017-06-28,ordinateur,Paris,8782.587933321318
2017-06-29,ordinateur,Paris,11236.251944147654
2017-06-30,ordinateur,Paris,10578.265761694387
2017-07-01,ordinateur,Paris,7608.586154935874
2017-07-02,ordinateur,Paris,10421.597254123244
2017-07-03,ordinateur,Paris,9427.900842118917
2017-07-04,ordinateur,Paris,5173.6509133853
2017-07-05,ordinateur,Paris,7547.506542913034
2017-07-06,ordinateur,Paris,10963.501972390835
2017-07-07,ordinateur,Paris,11176.854936994334
2017-07-08,ordinateur,Paris,8757.32777875348
2017-07-09,ordinateur,Paris,13244.679953254037
2017-07-10,ordinateur,Paris,9670.137503979811
2017-07-11,ordinateur,Paris,15115.709459235624
2017-07-12,ordinateur,Paris,13851.312707858735
2017-07-13,ordinateur,Paris,10738.462553466752
2017-07-14,ordinateur,Paris,12886.34939684081
2017-07-15,ordinateur,Paris,5175.951464993315
2017-07-16,ordinateur,Paris,8044.595602664446
2017-07-17,ordinateur,Paris,7670.213511478715
2017-07-18,ordinateur,Paris,8000.3909691980825
2017-07-19,ordinateur,Paris,8603.337245659754
2017-07-20,ordinateur,Paris,8906.735386046224
2017-07-21,ordinateur,Paris,11585.985871032033
2017-07-22,ordinateur,Paris,8255.162885161533
2017-07-23,ordinateur,Paris,5668.0764751290535
2017-07-24,ordinateur,Paris,10067.68236414104
2017-07-25,ordinateur,Paris,9937.717683215371
2017-07-26,ordinateur,Paris,7110.000328878818
2017-07-27,ordinateur,Paris,4944.6164858764805
2017-07-28,ordinateur,Paris,11899.045835238965
2017-07-29,ordinateur,Paris,5794.835693614302
2017-07-30,ordinateur,Paris,10356.66199704592
2017-07-31,ordinateur,Paris,8060.739352502319
2017-08-01,ordinateur,Paris,10309.199560603302
2017-08-02,ordinateur,Paris,8585.156944209039
2017-08-03,ordinateur,Paris,5057.613115654273
2017-08-04,ordinateur,Paris,10517.69936665883
2017-08-05,ordinateur,Paris,6403.309677887699
2017-08-06,ordinateur,Paris,8461.647228079823
2017-08-07,ordinateur,Paris,9896.49648093632
2017-08-08,ordinateur,Paris,9726.331701136985
2017-08-09,ordinateur,Paris,8080.20373732435
2017-08-10,ordinateur,Paris,8524.312054775954
2017-08-11,ordinateur,Paris,4519.320446334064
2017-08-12,ordinateur,Paris,9236.429026861275
2017-08-13,ordinateur,Paris,6009.0333069377175
2017-08-14,ordinateur,Paris,9757.406607562567
2017-08-15,ordinateur,Paris,13418.369803862686
2017-08-16,ordinateur,Paris,10116.854937477105
2017-08-17,ordinateur,Paris,8204.268563105139
2017-08-18,ordinateur,Paris,11354.724718726786
2017-08-19,ordinateur,Paris,10972.877187999487
2017-08-20,ordinateur,Paris,8965.256222495056
2017-08-21,ordinateur,Paris,4326.280261340062
2017-08-22,ordinateur,Paris,10176.506487406445
2017-08-23,ordinateur,Paris,7370.342119955167
2017-08-24,ordinateur,Paris,8064.979590500938
2017-08-25,ordinateur,Paris,9853.571147692817
2017-08-26,ordinateur,Paris,10446.516168359565
2017-08-27,ordinateur,Paris,9197.879527868521
2017-08-28,ordinateur,Paris,10242.199177972136
2017-08-29,ordinateur,Paris,9830.26307749588
2017-08-30,ordinateur,Paris,9540.214600756935
2017-08-31,ordinateur,Paris,12676.446245062478
2017-09-01,ordinateur,Paris,10678.157357669445
2017-09-02,ordinateur,Paris,12817.851267438537
2017-09-03,ordinateur,Paris,7122.966894710656
2017-09-04,ordinateur,Paris,6958.099115857153
2017-09-05,ordinateur,Paris,11097.872027834519
2017-09-06,ordinateur,Paris,6094.637012439651
2017-09-07,ordinateur,Paris,10345.525786737082
2017-09-08,ordinateur,Paris,7293.730379659482
2017-09-09,ordinateur,Paris,9351.411848594782
2017-09-10,ordinateur,Paris,8343.424808105156
2017-09-11,ordinateur,Paris,7063.7655185234435
2017-09-12,ordinateur,Paris,7268.9400227980805
2017-09-13,ordinateur,Paris,8125.916130597249
2017-09-14,ordinateur,Paris,8079.809269299648
2017-09-15,ordinateur,Paris,9137.73047786436
2017-09-16,ordinateur,Paris,6399.076141383793
2017-09-17,ordinateur,Paris,8719.670274228058
2017-09-18,ordinateur,Paris,15123.249343797981
2017-09-19,ordinateur,Paris,7699.02010358486
2017-09-20,ordinateur,Paris,12537.717074902248
2017-09-21,ordinateur,Paris,5836.642416514191
2017-09-22,ordinateur,Paris,10582.509724939524
2017-09-23,ordinateur,Paris,7933.660828850532
2017-09-24,ordinateur,Paris,9031.672440965123
2017-09-25,ordinateur,Paris,5541.831452936836
2017-09-26,ordinateur,Paris,6168.822756028092
2017-09-27,ordinateur,Paris,7574.110938672993
2017-09-28,ordinateur,Paris,4218.455651478202
2017-09-29,ordinateur,Paris,5725.207454004405
2017-09-30,ordinateur,Paris,9819.326896566557
2017-10-01,ordinateur,Paris,9939.637885442151
2017-10-02,ordinateur,Paris,7040.629087915289
2017-10-03,ordinateur,Paris,9739.811626286839
2017-10-04,ordinateur,Paris,6947.475693297086
2017-10-05,ordinateur,Paris,6676.677573449693
2017-10-06,ordinateur,Paris,7215.955239239432
2017-10-07,ordinateur,Paris,7872.137269424293
2017-10-08,ordinateur,Paris,8918.07342852431
2017-10-09,ordinateur,Paris,8161.606530154563
2017-10-10,ordinateur,Paris,7167.620332306415
2017-10-11,ordinateur,Paris,7759.960460311277
2017-10-12,ordinateur,Paris,11821.446217027633
2017-10-13,ordinateur,Paris,9842.223409366572
2017-10-14,ordinateur,Paris,5957.752303795835
2017-10-15,ordinateur,Paris,6028.975473205673
2017-10-16,ordinateur,Paris,12054.361685095502
2017-10-17,ordinateur,Paris,9795.36271571659
2017-10-18,ordinateur,Paris,9825.232044259872
2017-10-19,ordinateur,Paris,5827.608160894471
2017-10-20,ordinateur,Paris,13794.071158815406
2017-10-21,ordinateur,Paris,9781.628532745686
2017-10-22,ordinateur,Paris,6703.642086477266
2017-10-23,ordinateur,Paris,15112.54920605593
2017-10-24,ordinateur,Paris,9284.886288684766
2017-10-25,ordinateur,Paris,15270.837819927568
2017-10-26,ordinateur,Paris,4949.127128665223
2017-10-27,ordinateur,Paris,6518.548419351402
2017-10-28,ordinateur,Paris,9435.081923351792
2017-10-29,ordinateur,Paris,11425.52146339767
2017-10-30,ordinateur,Paris,5688.907886764993
2017-10-31,ordinateur,Paris,6854.442852320989
2017-11-01,ordinateur,Paris,6144.361389251092
2017-11-02,ordinateur,Paris,7835.4613152515785
2017-11-03,ordinateur,Paris,6782.276042681996
2017-11-04,ordinateur,Paris,6822.970395152924
2017-11-05,ordinateur,Paris,14917.089763681604
2017-11-06,ordinateur,Paris,8353.226465344156
2017-11-07,ordinateur,Paris,9186.147104308868
2017-11-08,ordinateur,Paris,8315.443658398917
2017-11-09,ordinateur,Paris,9787.998215326195
2017-11-10,ordinateur,Paris,7955.538258342532
2017-11-11,ordinateur,Paris,11330.50280674047
2017-11-12,ordinateur,Paris,9534.76205442851
2017-11-13,ordinateur,Paris,13636.831900452844
2017-11-14,ordinateur,Paris,8385.07895207468
2017-11-15,ordinateur,Paris,9703.23285118262
2017-11-16,ordinateur,Paris,6052.789144074436
2017-11-17,ordinateur,Paris,6758.462288060113
2017-11-18,ordinateur,Paris,5377.125268905922
2017-11-19,ordinateur,Paris,8124.129690252487
2017-11-20,ordinateur,Paris,11237.058426816284
2017-11-21,ordinateur,Paris,7749.546846525084
2017-11-22,ordinateur,Paris,6972.807101487538
2017-11-23,ordinateur,Paris,7224.002332913559
2017-11-24,ordinateur,Paris,6022.560912713484
2017-11-25,ordinateur,Paris,14021.99075376037
2017-11-26,ordinateur,Paris,9743.5381258948
2017-11-27,ordinateur,Paris,8235.761294103446
2017-11-28,ordinateur,Paris,12018.70398000372
2017-11-29,ordinateur,Paris,7385.802103000027
2017-11-30,ordinateur,Paris,5572.016535189958
2017-12-01,ordinateur,Paris,10329.648862669997
2017-12-02,ordinateur,Paris,9114.302555006629
2017-12-03,ordinateur,Paris,9663.872248731153
2017-12-04,ordinateur,Paris,4484.379409585046
2017-12-05,ordinateur,Paris,8106.595654890854
2017-12-06,ordinateur,Paris,8615.60863377292
2017-12-07,ordinateur,Paris,12538.580648195031
2017-12-08,ordinateur,Paris,8827.76398564868
2017-12-09,ordinateur,Paris,6726.709610765656
2017-12-10,ordinateur,Paris,8532.767007327697
2017-12-11,ordinateur,Paris,9495.143278266843
2017-12-12,ordinateur,Paris,9976.012826520138
2017-12-13,ordinateur,Paris,7653.3299797148675
2017-12-14,ordinateur,Paris,8816.285325032251
2017-12-15,ordinateur,Paris,7637.388706517614
2017-12-16,ordinateur,Paris,13341.229987614384
2017-12-17,ordinateur,Paris,10907.934457985206
2017-12-18,ordinateur,Paris,8084.328125777932
2017-12-19,ordinateur,Paris,12111.050022858568
2017-12-20,ordinateur,Paris,7747.089910493879
2017-12-21,ordinateur,Paris,10238.349144193486
2017-12-22,ordinateur,Paris,4588.674317345904
2017-12-23,ordinateur,Paris,10042.974878016606
2017-12-24,ordinateur,Paris,10553.68197711003
2017-12-25,ordinateur,Paris,10657.320361082244
2017-12-26,ordinateur,Paris,10031.797591303803
2017-12-27,ordinateur,Paris,10615.81587436316
2017-12-28,ordinateur,Paris,8980.816478448525
2017-12-29,ordinateur,Paris,11319.428186639883
2017-12-30,ordinateur,Paris,11625.862040956988
2017-12-31,ordinateur,Paris,7062.856799424253
2018-01-01,ordinateur,Paris,14859.516532386553
2018-01-02,ordinateur,Paris,6745.683054834159
2018-01-03,ordinateur,Paris,7763.0335644591505
2018-01-04,ordinateur,Paris,9430.50731621004
2018-01-05,ordinateur,Paris,7141.815185439254
2018-01-06,ordinateur,Paris,10716.255092714378
2018-01-07,ordinateur,Paris,5902.935742417712
2018-01-08,ordinateur,Paris,14348.320845172922
2018-01-09,ordinateur,Paris,5745.010850818295
2018-01-10,ordinateur,Paris,11248.716593008026
2018-01-11,ordinateur,Paris,7053.78123206731
2018-01-12,ordinateur,Paris,7660.849962807701
2018-01-13,ordinateur,Paris,7660.507805641805
2018-01-14,ordinateur,Paris,8130.493898679927
2018-01-15,ordinateur,Paris,9176.657236362467
2018-01-16,ordinateur,Paris,5498.668443654237
2018-01-17,ordinateur,Paris,7850.528422873687
2018-01-18,ordinateur,Paris,12332.667789441344
2018-01-19,ordinateur,Paris,11230.044337208394
2018-01-20,ordinateur,Paris,4896.73180410022
2018-01-21,ordinateur,Paris,9700.312945693213
2018-01-22,ordinateur,Paris,10017.39098438208
2018-01-23,ordinateur,Paris,7068.409238702725
2018-01-24,ordinateur,Paris,10081.420053439391
2018-01-25,ordinateur,Paris,9980.798722197807
2018-01-26,ordinateur,Paris,5788.459179804141
2018-01-27,ordinateur,Paris,4696.063307953233
2018-01-28,ordinateur,Paris,9570.192328402134
2018-01-29,ordinateur,Paris,12136.032609190102
2018-01-30,ordinateur,Paris,8344.661179470779
2018-01-31,ordinateur,Paris,9107.51414209677
2018-02-01,ordinateur,Paris,10734.432856732115
2018-02-02,ordinateur,Paris,7325.824883355828
2018-02-03,ordinateur,Paris,10005.137443158541
2018-02-04,ordinateur,Paris,9317.005519319197
2018-02-05,ordinateur,Paris,8379.022653772328
2018-02-06,ordinateur,Paris,11227.03211629315
2018-02-07,ordinateur,Paris,9103.25593050299
2018-02-08,ordinateur,Paris,7377.83838924221
2018-02-09,ordinateur,Paris,7708.874913325503
2018-02-10,ordinateur,Paris,9082.98104460922
2018-02-11,ordinateur,Paris,9772.038087490306
2018-02-12,ordinateur,Paris,7376.453300146735
2018-02-13,ordinateur,Paris,9854.7454697616
2018-02-14,ordinateur,Paris,8760.484624566649
2018-02-15,ordinateur,Paris,9947.394010674006
2018-02-16,ordinateur,Paris,8620.770307760238
2018-02-17,ordinateur,Paris,9775.891776049415
2018-02-18,ordinateur,Paris,7631.584018340999
2018-02-19,ordinateur,Paris,6756.697494235933
2018-02-20,ordinateur,Paris,14505.476261613125
2018-02-21,ordinateur,Paris,6777.307272069864
2018-02-22,ordinateur,Paris,4844.795477138849
2018-02-23,ordinateur,Paris,6237.971830332157
2018-02-24,ordinateur,Paris,9620.750857146024
2018-02-25,ordinateur,Paris,14024.319703788247
2018-02-26,ordinateur,Paris,6472.700141854757
2018-02-27,ordinateur,Paris,13034.535516437816
2018-02-28,ordinateur,Paris,8213.514030532167
2018-03-01,ordinateur,Paris,11216.726872287281
2018-03-02,ordinateur,Paris,10554.542086851412
2018-03-03,ordinateur,Paris,10540.355557954093
2018-03-04,ordinateur,Paris,10322.624188854976
2018-03-05,ordinateur,Paris,10701.220412168412
2018-03-06,ordinateur,Paris,8665.476652426658
2018-03-07,ordinateur,Paris,7249.59685195156
2018-03-08,ordinateur,Paris,7435.429557395545
2018-03-09,ordinateur,Paris,10693.164724374028
2018-03-10,ordinateur,Paris,9015.741056691828
2018-03-11,ordinateur,Paris,14424.17581996337
2018-03-12,ordinateur,Paris,10060.93308433816
2018-03-13,ordinateur,Paris,6775.118811470976
2018-03-14,ordinateur,Paris,13279.292191827324
2018-03-15,ordinateur,Paris,12680.157335650307
2018-03-16,ordinateur,Paris,9221.870592077252
2018-03-17,ordinateur,Paris,5009.4875075981845
2018-03-18,ordinateur,Paris,10614.95814078968
2018-03-19,ordinateur,Paris,9903.451729295535
2018-03-20,ordinateur,Paris,9428.429944665035
2018-03-21,ordinateur,Paris,13369.180242773633
2018-03-22,ordinateur,Paris,6582.653267257428
2018-03-23,ordinateur,Paris,13347.682601916164
2018-03-24,ordinateur,Paris,7516.8394931945995
2018-03-25,ordinateur,Paris,12124.25802064707
2018-03-26,ordinateur,Paris,12339.85040181088
2018-03-27,ordinateur,Paris,8917.601403457
2018-03-28,ordinateur,Paris,7819.754680523895
2018-03-29,ordinateur,Paris,6904.754621088482
2018-03-30,ordinateur,Paris,13301.289520437444
2018-03-31,ordinateur,Paris,5833.522758704156
2018-04-01,ordinateur,Paris,12717.159987126166
2018-04-02,ordinateur,Paris,9568.88919055112
2018-04-03,ordinateur,Paris,6812.149395506472
2018-04-04,ordinateur,Paris,12892.430102161677
2018-04-05,ordinateur,Paris,6970.571632735454
2018-04-06,ordinateur,Paris,10395.871702770557
2018-04-07,ordinateur,Paris,6461.448604206743
2018-04-08,ordinateur,Paris,9063.438896701378
2018-04-09,ordinateur,Paris,6141.714350649029
2018-04-10,ordinateur,Paris,10011.796395015763
2018-04-11,ordinateur,Paris,9958.88980690789
2018-04-12,ordinateur,Paris,9436.914165318363
2018-04-13,ordinateur,Paris,6912.738134597135
2018-04-14,ordinateur,Paris,6963.642558058321
2018-04-15,ordinateur,Paris,8813.59875575703
2018-04-16,ordinateur,Paris,11861.42281505242
2018-04-17,ordinateur,Paris,5156.043221069885
2018-04-18,ordinateur,Paris,7733.304028299776
2018-04-19,ordinateur,Paris,9360.534725413498
2018-04-20,ordinateur,Paris,11057.030115948808
2018-04-21,ordinateur,Paris,11075.538134063305
2018-04-22,ordinateur,Paris,7612.548274257209
2018-04-23,ordinateur,Paris,12906.201842547618
2018-04-24,ordinateur,Paris,5993.812004916837
2018-04-25,ordinateur,Paris,12109.814617149616
2018-04-26,ordinateur,Paris,14914.94700066689
2018-04-27,ordinateur,Paris,6052.767225180275
2018-04-28,ordinateur,Paris,10457.979118727168
2018-04-29,ordinateur,Paris,5504.34604690644
2018-04-30,ordinateur,Paris,8451.580967030346
2018-05-01,ordinateur,Paris,10774.310038403059
2018-05-02,ordinateur,Paris,9010.104739503402
2018-05-03,ordinateur,Paris,12490.113980026486
2018-05-04,ordinateur,Paris,8910.646196074547
2018-05-05,ordinateur,Paris,10913.259760324612
2018-05-06,ordinateur,Paris,9017.08896671819
2018-05-07,ordinateur,Paris,12431.696382165834
2018-05-08,ordinateur,Paris,9286.392995164097
2018-05-09,ordinateur,Paris,11758.978315327387
2018-05-10,ordinateur,Paris,8029.540776380663
2018-05-11,ordinateur,Paris,5045.577249065899
2018-05-12,ordinateur,Paris,12990.85428794102
2018-05-13,ordinateur,Paris,8756.88386263284
2018-05-14,ordinateur,Paris,7921.589181919487
2018-05-15,ordinateur,Paris,6490.873108595347
2018-05-16,ordinateur,Paris,7595.2308607949435
2018-05-17,ordinateur,Paris,8299.784403041956
2018-05-18,ordinateur,Paris,7924.595331190548
2018-05-19,ordinateur,Paris,8272.460382679725
2018-05-20,ordinateur,Paris,6742.216963871982
2018-05-21,ordinateur,Paris,11959.045394056317
2018-05-22,ordinateur,Paris,7626.544782661115
2018-05-23,ordinateur,Paris,6130.37135425803
2018-05-24,ordinateur,Paris,9608.29116898096
2018-05-25,ordinateur,Paris,10114.044264700753
2018-05-26,ordinateur,Paris,14127.99864838953
2018-05-27,ordinateur,Paris,5221.521811820592
2018-05-28,ordinateur,Paris,7754.66258521316
2018-05-29,ordinateur,Paris,10987.53397637219
2018-05-30,ordinateur,Paris,8480.255260275999
2018-05-31,ordinateur,Paris,11475.998913684763
2018-06-01,ordinateur,Paris,10098.741936155862
2018-06-02,ordinateur,Paris,9732.472167510137
2018-06-03,ordinateur,Paris,11010.88145941607
2018-06-04,ordinateur,Paris,5774.113361555734
2018-06-05,ordinateur,Paris,11813.968849118894
2018-06-06,ordinateur,Paris,9983.525755084209
2018-06-07,ordinateur,Paris,6993.911810473165
2018-06-08,ordinateur,Paris,7233.560053142573
2018-06-09,ordinateur,Paris,8157.980598236271
2018-06-10,ordinateur,Paris,5084.767688937034
2018-06-11,ordinateur,Paris,12008.031598679216
2018-06-12,ordinateur,Paris,8940.044611777717
2018-06-13,ordinateur,Paris,14836.026778835547
2018-06-14,ordinateur,Paris,13317.423529858059
2018-06-15,ordinateur,Paris,4690.487784571736
2018-06-16,ordinateur,Paris,9711.110753830659
2018-06-17,ordinateur,Paris,10619.05943183421
2018-06-18,ordinateur,Paris,10982.994684709372
2018-06-19,ordinateur,Paris,5922.453273949284
2018-06-20,ordinateur,Paris,14485.554423750054
2018-06-21,ordinateur,Paris,7290.930721059681
2018-06-22,ordinateur,Paris,7129.486490682361
2018-06-23,ordinateur,Paris,8142.032903908606
2018-06-24,ordinateur,Paris,11905.449818380881
2018-06-25,ordinateur,Paris,9918.31426353581
2018-06-26,ordinateur,Paris,6904.420832998988
2018-06-27,ordinateur,Paris,6254.198605732364
2018-06-28,ordinateur,Paris,8712.26645561824
2018-06-29,ordinateur,Paris,11090.396506154013
2018-06-30,ordinateur,Paris,8740.934573947492
2018-07-01,ordinateur,Paris,8633.039795035791
2018-07-02,ordinateur,Paris,13461.602232863175
2018-07-03,ordinateur,Paris,12134.835992287804
2018-07-04,ordinateur,Paris,12480.190672381723
2018-07-05,ordinateur,Paris,10001.600657392235
2018-07-06,ordinateur,Paris,7358.881576680636
2018-07-07,ordinateur,Paris,4976.307872001412
2018-07-08,ordinateur,Paris,9800.952305661898
2018-07-09,ordinateur,Paris,7381.705549199122
2018-07-10,ordinateur,Paris,6195.696529666076
2018-07-11,ordinateur,Paris,12354.487298193117
2018-07-12,ordinateur,Paris,9806.189802583656
